"","TLC","Station_Name","Entries.and.exits...Full.price.tickets","Entries.and.exits...Reduced.price.tickets","Entries.and.exits...Season.tickets","Tickets_Sold","Rank_Tickets","Interchanges","Main_OD","NLC","Region","Station_Owner","TRUE.","FALSE.","Route_Name"
"66","AHS","Ashurst (Kent)",9344,8178,8966,26488,2141,0,"London Bridge",5398,"South East","Govia Thameslink Railway (Southern)",0,1,"South Croydon to Uckfield Branch"
"67","AHT","Aldershot",346468,589196,157812,1093476,413,79583,"London Waterloo",5623,"South East","South Western Railway",1,0,"Alton Line"
"68","AHV","Ash Vale",102848,141250,58960,303058,1010,68635,"London Waterloo",5547,"South East","South Western Railway",0,1,"North Downs Line"
"69","AHV","Ash Vale",102848,141250,58960,303058,1010,68635,"London Waterloo",5547,"South East","South Western Railway",0,1,"Pirbright and Alton Line"
"70","AHV","Ash Vale",102848,141250,58960,303058,1010,68635,"London Waterloo",5547,"South East","South Western Railway",0,1,"Ascot to Guildford line"
"71","AIG","Aigburth",135174,286910,144934,567018,701,0,"Liverpool Central",2255,"North West","Merseyrail",0,1,"Merseyrail Northern Line"
"72","AIN","Aintree",189054,440238,212370,841662,526,0,"Liverpool Central",2125,"North West","Merseyrail",0,1,"Merseyrail Northern Line"
"73","AIR","Airbles",27468,40642,11390,79500,1742,0,"Glasgow Central",9695,"Scotland","ScotRail",0,1,"Hamilton Circle Line"
"74","ALB","Albrighton",27064,27812,14680,69556,1799,0,"Birmingham New Street",4614,"West Midlands","West Midlands Trains (West Midlands Railway)",0,1,"Wolverhampton to Shrewsbury Line"
"75","ALD","Alderley Edge",105456,77540,43696,226692,1187,0,"Manchester Piccadilly",2760,"North West","Northern Trains",0,1,"Crewe to Manchester Line"
"76","ALD","Alderley Edge",105456,77540,43696,226692,1187,0,"Manchester Piccadilly",2760,"North West","Northern Trains",0,1,"Crewe and Manchester Piccadilly Line"
"77","ALF","Alfreton",94974,184888,9976,289838,1035,0,"Nottingham",1805,"East Midlands","East Midlands Railway",0,1,"Erewash Valley Line"
"78","ALK","Aslockton",10260,9354,3858,23472,2176,0,"Nottingham",6233,"East Midlands","East Midlands Railway",0,1,"Nottingham to Grantham Line"
"79","ALM","Alnmouth",15460,302826,12778,331064,959,263,"Newcastle",7787,"North East","Northern Trains",0,1,"East Coast Main Line"
"80","ALN","Althorne (Essex)",8196,7992,5720,21908,2191,0,"London Liverpool Street",6869,"East of England","Greater Anglia",0,1,"Crouch Valley Line"
"81","ALO","Alloa",90676,238920,25684,355280,927,0,"Glasgow Queen Street",9883,"Scotland","ScotRail",0,1,"Stirling, Alloa and Kincardine Railway"
"82","ALP","Althorpe",618,750,40,1408,2488,0,"Doncaster",6532,"Yorkshire and The Humber","Northern Trains",0,1,"Sheffield to Hull Line"
"83","ALP","Althorpe",618,750,40,1408,2488,0,"Doncaster",6532,"Yorkshire and The Humber","Northern Trains",0,1,"South Humberside Main Line"
"84","ALR","Alresford (Essex)",16418,26058,20974,63450,1846,0,"London Liverpool Street",6847,"East of England","Greater Anglia",0,1,"Sunshine Coast Line"
"85","ALT","Altrincham",86220,104640,56654,247514,1125,8,"Knutsford",2806,"North West","Northern Trains",0,1,"Metrolink"
"86","ALT","Altrincham",86220,104640,56654,247514,1125,8,"Knutsford",2806,"North West","Northern Trains",0,1,"Mid-Cheshire Line"
"87","ALV","Alvechurch",54802,36662,32090,123554,1511,0,"Birmingham New Street",1198,"West Midlands","West Midlands Trains (West Midlands Railway)",0,1,"Cross-City Line"
"88","ALW","Allens West",23140,34918,15108,73166,1774,0,"Middlesbrough",7520,"North East","Northern Trains",0,1,"Tees Valley Line"
"89","ALX","Alexandria",43810,78782,25748,148340,1423,0,"Glasgow Queen Street",9861,"Scotland","ScotRail",0,1,"Balloch Branch"
"90","AMB","Ambergate",13910,17698,1554,33162,2082,0,"Derby",1678,"East Midlands","East Midlands Railway",0,1,"Midland Main Line"
"91","AMB","Ambergate",13910,17698,1554,33162,2082,0,"Derby",1678,"East Midlands","East Midlands Railway",0,1,"St Pancras to Chesterfield Line"
"92","AMB","Ambergate",13910,17698,1554,33162,2082,0,"Derby",1678,"East Midlands","East Midlands Railway",0,1,"Derwent Valley Line"
"93","AMF","Ammanford",7868,3122,20,11010,2315,0,"Swansea",4236,"Wales","TfW Rail",0,1,"Heart of Wales Line"
"94","AML","Acton Main Line",340190,602452,157062,1099704,410,0,"London Paddington",3000,"London","Elizabeth line",1,0,"Great Western Main Line"
"95","AML","Acton Main Line",340190,602452,157062,1099704,410,0,"London Paddington",3000,"London","Elizabeth line",1,0,"North London line"
"96","AML","Acton Main Line",340190,602452,157062,1099704,410,0,"London Paddington",3000,"London","Elizabeth line",1,0,"Elizabeth Line"
"97","AMR","Amersham",632678,858442,72342,1563462,295,0,"Harrow-On-The-Hill",506,"South East","London Underground",1,0,"Metropolitan Line"
"98","AMT","Aldermaston",12038,30466,8098,50602,1943,0,"Reading",3145,"South East","Great Western Railway",0,1,"Reading to Plymouth Line"
"99","AMY","Amberley",16632,33800,10148,60580,1867,0,"London Victoria",5250,"South East","Govia Thameslink Railway (Southern)",0,1,"Arun Valley Line"
"100","ANC","Ancaster",4880,732,1936,7548,2364,0,"Grantham",6358,"East Midlands","East Midlands Railway",0,1,"Grantham to Skegness Line"
"101","AND","Anderston",81606,95904,50996,228506,1180,0,"Rutherglen",9965,"Scotland","ScotRail",1,0,"North Clyde Line"
"102","AND","Anderston",81606,95904,50996,228506,1180,0,"Rutherglen",9965,"Scotland","ScotRail",1,0,"Argyle Line"
"103","ANF","Ashurst New Forest",18566,57742,15180,91488,1679,0,"Southampton Central",5906,"South East","South Western Railway",0,1,"South Western Main Line"
"104","ANG","Angmering",160312,385624,187906,733842,588,0,"Brighton",5267,"South East","Govia Thameslink Railway (Southern)",1,0,"West Coastway Line"
"105","ANL","Anniesland",202336,451466,81646,735448,585,0,"Glasgow Queen Street",9972,"Scotland","ScotRail",0,1,"Hyndland West Curve"
"106","ANL","Anniesland",202336,451466,81646,735448,585,0,"Glasgow Queen Street",9972,"Scotland","ScotRail",0,1,"Maryhill Line"
"107","ANL","Anniesland",202336,451466,81646,735448,585,0,"Glasgow Queen Street",9972,"Scotland","ScotRail",0,1,"North Clyde Line"
"108","ANN","Annan",7296,91086,1016,99398,1640,0,"Carlisle",9451,"Scotland","ScotRail",0,1,"Glasgow and South Western Line"
"109","ANN","Annan",7296,91086,1016,99398,1640,0,"Carlisle",9451,"Scotland","ScotRail",0,1,"Glasgow South Western Line"
"110","ANS","Ainsdale",171718,580394,168514,920626,490,0,"Southport",2350,"North West","Merseyrail",0,1,"Merseyrail"
"111","ANZ","Anerley",319968,479538,101376,900882,499,0,"Canada Water",5397,"London","London Overground",0,1,"Up Sydenham Spur"
"112","ANZ","Anerley",319968,479538,101376,900882,499,0,"Canada Water",5397,"London","London Overground",0,1,"Balham to Beckenham Junction Line"
"113","ANZ","Anerley",319968,479538,101376,900882,499,0,"Canada Water",5397,"London","London Overground",0,1,"London Bridge to Windmill Bridge Junction"
"114","ANZ","Anerley",319968,479538,101376,900882,499,0,"Canada Water",5397,"London","London Overground",0,1,"Sydenham to Crystal Palace Line"
"115","AON","Alton",152124,234996,108912,496032,785,0,"London Waterloo",5544,"South East","South Western Railway",0,1,"Pirbright and Alton Line"
"116","APB","Appley Bridge",38042,69272,23402,130716,1487,0,"Southport",2396,"North West","Northern Trains",0,1,"Manchester to Southport Line"
"117","APD","Appledore (Kent)",6582,14642,5254,26478,2142,0,"Ashford International",5003,"South East","Govia Thameslink Railway (Southern)",0,1,"Marshlink Line"
"118","APF","Appleford",3206,3032,996,7234,2366,0,"Oxford",3109,"South East","Great Western Railway",0,1,"Didcot and Chester Line"
"119","APG","Aspley Guise",1488,1946,1216,4650,2405,0,"Bedford",1380,"East of England","West Midlands Trains (London Northwestern Railway)",0,1,"Marston Vale Line"
"120","APP","Appleby",7166,43222,2286,52674,1932,0,"Carlisle",2052,"North West","Northern Trains",0,1,"Settle-Carlisle Railway"
"121","APS","Apsley",153556,191356,60860,405772,859,0,"London Euston",1430,"East of England","West Midlands Trains (London Northwestern Railway)",0,1,"West Coast Main Line"
"122","APY","Apperley Bridge",90146,217022,55820,362988,912,0,"Leeds",8562,"Yorkshire and The Humber","Northern Trains",0,1,"Ilkley Branch"
"123","APY","Apperley Bridge",90146,217022,55820,362988,912,0,"Leeds",8562,"Yorkshire and The Humber","Northern Trains",0,1,"Airedale Line"
"124","APY","Apperley Bridge",90146,217022,55820,362988,912,0,"Leeds",8562,"Yorkshire and The Humber","Northern Trains",0,1,"Wharfedale Line"
"125","ARB","Arbroath",107256,172076,13942,293274,1030,14504,"Dundee",9079,"Scotland","ScotRail",0,1,"Edinburgh to Aberdeen Line"
"126","ARD","Ardgay",3604,778,30,4412,2411,0,"Inverness",8613,"Scotland","ScotRail",0,1,"Far North Line"
"127","ARG","Arisaig",2298,1898,0,4196,2418,0,"Fort William",8821,"Scotland","ScotRail",0,1,"West Highland Line"
"128","ARL","Arlesey",192284,271504,88362,552150,721,0,"London St Pancras International",6171,"East of England","Govia Thameslink Railway (Great Northern)",0,1,"East Coast Main Line"
"129","ARM","Armadale (West Lothian)",68552,88818,15548,172918,1334,0,"Edinburgh",990,"Scotland","ScotRail",0,1,"Edinburgh to Glasgow via Bathgate"
"130","ARN","Arnside",11754,77360,2216,91330,1680,0,"Lancaster",1963,"North West","Northern Trains",0,1,"Furness Line"
"131","ARR","Arram",82,304,212,598,2535,0,"Hull",8045,"Yorkshire and The Humber","Northern Trains",0,1,"Yorkshire Coast Line"
"132","ART","Arrochar and Tarbet",12514,4054,390,16958,2239,0,"Glasgow Queen Street",9963,"Scotland","ScotRail",0,1,"West Highland Line"
"133","ARU","Arundel",43840,152696,61858,258394,1105,0,"London Victoria",5251,"South East","Govia Thameslink Railway (Southern)",0,1,"Arun Valley Line"
"134","ASB","Ardrossan South Beach",41152,89844,12204,143200,1440,284,"Glasgow Central",9569,"Scotland","ScotRail",0,1,"Largs Line"
"135","ASB","Ardrossan South Beach",41152,89844,12204,143200,1440,284,"Glasgow Central",9569,"Scotland","ScotRail",0,1,"Ardrossan Harbour Branch"
"136","ASC","Ashchurch for Tewkesbury",27158,48616,6056,81830,1727,0,"Bristol Temple Meads",4700,"South West","Great Western Railway",0,1,"Cross Country Route"
"137","ASF","Ashfield",14786,35024,2250,52060,1937,0,"Glasgow Queen Street",9953,"Scotland","ScotRail",0,1,"Edinburgh to Glasgow via Falkirk Line"
"138","ASF","Ashfield",14786,35024,2250,52060,1937,0,"Glasgow Queen Street",9953,"Scotland","ScotRail",0,1,"Maryhill Line"
"139","ASG","Alsager",61616,26884,6122,94622,1657,0,"Crewe",1223,"North West","East Midlands Railway",0,1,"Crewe to Derby Line"
"140","ASH","Ash",58968,108704,36378,204050,1239,32638,"Guildford",5641,"South East","South Western Railway",0,1,"Guildford to Wokingham Line"
"141","ASK","Askam",18472,32458,6676,57606,1889,0,"Barrow-In-Furness",1953,"North West","Northern Trains",0,1,"Cumbrian Coast Line"
"142","ASN","Addlestone",108918,111918,50848,271684,1071,0,"London Waterloo",5550,"South East","South Western Railway",0,1,"Chertsey Branch Line"
"143","ASP","Aspatria",8342,16590,2946,27878,2132,0,"Carlisle",2095,"North West","Northern Trains",0,1,"Carnforth Barrow and Carlisle Line"
"144","ASS","Alness",13324,2718,762,16804,2243,0,"Inverness",8605,"Scotland","ScotRail",0,1,"Far North Line"
"145","AST","Aston",230546,220590,104056,555192,712,19387,"Birmingham New Street",1004,"West Midlands","West Midlands Trains (West Midlands Railway)",0,1,"Stechford - Aston Line"
"146","AST","Aston",230546,220590,104056,555192,712,19387,"Birmingham New Street",1004,"West Midlands","West Midlands Trains (West Midlands Railway)",0,1,"Stechford and Aston Line"
"147","AST","Aston",230546,220590,104056,555192,712,19387,"Birmingham New Street",1004,"West Midlands","West Midlands Trains (West Midlands Railway)",0,1,"Proof House Junction and Bushbury Junction Line"
"148","AST","Aston",230546,220590,104056,555192,712,19387,"Birmingham New Street",1004,"West Midlands","West Midlands Trains (West Midlands Railway)",0,1,"Aston and Lichfield City Line"
"149","AST","Aston",230546,220590,104056,555192,712,19387,"Birmingham New Street",1004,"West Midlands","West Midlands Trains (West Midlands Railway)",0,1,"Cross-City Line"
