"","TLC","Station_Name","Entries.and.exits...Full.price.tickets","Entries.and.exits...Reduced.price.tickets","Entries.and.exits...Season.tickets","Tickets_Sold","Rank_Tickets","Interchanges","Main_OD","NLC","Region","Station_Owner","TRUE.","FALSE.","Route_Name"
"1542","HHL","Heath High Level",220976,13162,47172,281310,1055,0,"Cardiff Queen Street",3845,"Wales","TfW Rail",0,1,"Rhymney Line"
"1543","HHY","Highbury and Islington",6030530,11874372,2696194,20601096,18,6839511,"Stratford (London)",6009,"London","London Underground",1,0,"North London line"
"1544","HHY","Highbury and Islington",6030530,11874372,2696194,20601096,18,6839511,"Stratford (London)",6009,"London","London Underground",1,0,"East London line"
"1545","HHY","Highbury and Islington",6030530,11874372,2696194,20601096,18,6839511,"Stratford (London)",6009,"London","London Underground",1,0,"Victoria Line"
"1546","HHY","Highbury and Islington",6030530,11874372,2696194,20601096,18,6839511,"Stratford (London)",6009,"London","London Underground",1,0,"Canonbury Curve"
"1547","HHY","Highbury and Islington",6030530,11874372,2696194,20601096,18,6839511,"Stratford (London)",6009,"London","London Underground",1,0,"Northern City Line"
"1548","HHY","Highbury and Islington",6030530,11874372,2696194,20601096,18,6839511,"Stratford (London)",6009,"London","London Underground",1,0,"High Speed 1"
"1549","HIA","Hampton-In-Arden",38002,62932,30248,131182,1486,0,"Birmingham New Street",1033,"West Midlands","West Midlands Trains (West Midlands Railway)",0,1,"Rugby Birmingham and Stafford Line"
"1550","HIB","High Brooms",247268,433440,242940,923648,485,0,"London Bridge",5235,"South East","Southeastern",0,1,"Hastings Line"
"1551","HID","Hall-I'-Th'-Wood",55424,41328,46272,143024,1441,0,"Manchester Victoria",2572,"North West","Northern Trains",0,1,"Ribble Valley Line"
"1552","HIG","Highbridge and Burnham",77408,138166,16646,232220,1166,0,"Weston-Super-Mare",3314,"South West","Great Western Railway",0,1,"Bristol to Exeter Line"
"1553","HIL","Hillside",100428,317104,90310,507842,770,0,"Southport",2231,"North West","Merseyrail",0,1,"Merseyrail"
"1554","HIL","Hillside",100428,317104,90310,507842,770,0,"Southport",2231,"North West","Merseyrail",0,1,"Merseyrail Northern Line"
"1555","HIN","Hindley",79958,81632,41160,202750,1243,26642,"Manchester Victoria",2398,"North West","Northern Trains",0,1,"Windsor Bridge North Junction (Salford Crescent) and Southport Line"
"1556","HIP","Highams Park",860040,1180972,217838,2258850,211,0,"Walthamstow Central",6919,"London","London Overground",0,1,"Clapton Junction and Chingford Branch"
"1557","HIR","Horton-In-Ribblesdale",3328,16538,46,19912,2212,0,"Leeds",2105,"Yorkshire and The Humber","Northern Trains",0,1,"Settle-Carlisle Railway"
"1558","HIT","Hitchin",894884,1221534,395836,2512254,182,77171,"London St Pancras International",6086,"East of England","Govia Thameslink Railway (Great Northern)",1,0,"Hitchin-Cambridge Line"
"1559","HIT","Hitchin",894884,1221534,395836,2512254,182,77171,"London St Pancras International",6086,"East of England","Govia Thameslink Railway (Great Northern)",1,0,"East Coast Main Line"
"1560","HIT","Hitchin",894884,1221534,395836,2512254,182,77171,"London St Pancras International",6086,"East of England","Govia Thameslink Railway (Great Northern)",1,0,"Yard Line"
"1561","HKC","Hackney Central",1183688,2457334,565038,4206060,101,1466758,"Highbury and Islington",6977,"London","London Overground",1,0,"Lea Valley Lines"
"1562","HKC","Hackney Central",1183688,2457334,565038,4206060,101,1466758,"Highbury and Islington",6977,"London","London Overground",1,0,"Graham Road Curve"
"1563","HKC","Hackney Central",1183688,2457334,565038,4206060,101,1466758,"Highbury and Islington",6977,"London","London Overground",1,0,"West Anglia Main Line"
"1564","HKC","Hackney Central",1183688,2457334,565038,4206060,101,1466758,"Highbury and Islington",6977,"London","London Overground",1,0,"High Speed 1"
"1565","HKC","Hackney Central",1183688,2457334,565038,4206060,101,1466758,"Highbury and Islington",6977,"London","London Overground",1,0,"North London line"
"1566","HKH","Hawkhead",49204,92100,25662,166966,1355,0,"Glasgow Central",9634,"Scotland","ScotRail",0,1,"Paisley Canal Line"
"1567","HKM","Hykeham",78300,25500,9418,113218,1559,0,"Lincoln",6310,"East Midlands","East Midlands Railway",0,1,"Nottingham to Lincoln Line"
"1568","HKN","Hucknall",81882,25830,12904,120616,1525,0,"Nottingham",1862,"East Midlands","East Midlands Railway",0,1,"Nottingham Express Transit Line"
"1569","HKN","Hucknall",81882,25830,12904,120616,1525,0,"Nottingham",1862,"East Midlands","East Midlands Railway",0,1,"Robin Hood Line"
"1570","HKW","Hackney Wick",934388,1846794,300886,3082068,149,1629,"Highbury and Islington",6978,"London","London Overground",0,1,"High Speed 1"
"1571","HKW","Hackney Wick",934388,1846794,300886,3082068,149,1629,"Highbury and Islington",6978,"London","London Overground",0,1,"North London line"
"1572","HLB","Hildenborough",102604,107022,84566,294192,1028,0,"London Bridge",5236,"South East","Southeastern",0,1,"South Eastern Main Line"
"1573","HLC","Helensburgh Central",147898,293854,57922,499674,781,45,"Glasgow Queen Street",9981,"Scotland","ScotRail",0,1,"North Clyde Line"
"1574","HLD","Hellifield",4038,23292,182,27512,2134,1265,"Leeds",2656,"Yorkshire and The Humber","Northern Trains",0,1,"Ribble Valley Line"
"1575","HLD","Hellifield",4038,23292,182,27512,2134,1265,"Leeds",2656,"Yorkshire and The Humber","Northern Trains",0,1,"Skipton and Wennington Line"
"1576","HLE","Hillington East",52988,78874,43924,175786,1324,0,"Glasgow Central",9676,"Scotland","ScotRail",0,1,"Ayr Line"
"1577","HLE","Hillington East",52988,78874,43924,175786,1324,0,"Glasgow Central",9676,"Scotland","ScotRail",0,1,"Cardonald and Deanside Branch"
"1578","HLF","Hillfoot",61092,108232,13646,182970,1302,0,"Glasgow Queen Street",9983,"Scotland","ScotRail",0,1,"Milngavie Branch"
"1579","HLG","Hall Green",77976,102540,81962,262478,1097,0,"Birmingham Moor Street",4521,"West Midlands","West Midlands Trains (West Midlands Railway)",0,1,"Birmingham to Stratford Line"
"1580","HLI","Healing",2804,3076,52,5932,2383,0,"Cleethorpes",6283,"Yorkshire and The Humber","East Midlands Railway",0,1,"Barton Line"
"1581","HLL","Heath Low Level",42374,2338,5364,50076,1945,0,"Cardiff Queen Street",3908,"Wales","TfW Rail",0,1,"Coryton Line"
"1582","HLL","Heath Low Level",42374,2338,5364,50076,1945,0,"Cardiff Queen Street",3908,"Wales","TfW Rail",0,1,"Rhymney Line"
"1583","HLM","Holmwood",20110,19948,12064,52122,1936,0,"London Victoria",5308,"South East","Govia Thameslink Railway (Southern)",0,1,"Sutton and Mole Valley Line"
"1584","HLN","Harlington (Bedfordshire)",69752,149854,46602,266208,1085,0,"London St Pancras International",1533,"East of England","Govia Thameslink Railway (Thameslink)",0,1,"Midland Main Line"
"1585","HLR","Hall Road",36404,258648,36456,331508,958,0,"Liverpool Central",2229,"North West","Merseyrail",0,1,"Merseyrail Northern Line"
"1586","HLS","Hilsea",108152,134396,55526,298074,1018,5306,"Fratton",5539,"South East","South Western Railway",0,1,"West Coastway Line"
"1587","HLU","Helensburgh Upper",2758,5482,1080,9320,2339,737,"Glasgow Queen Street",9982,"Scotland","ScotRail",0,1,"West Highland Line"
"1588","HLW","Hillington West",82866,93432,65720,242018,1141,0,"Glasgow Central",9630,"Scotland","ScotRail",0,1,"Ayr Line"
"1589","HLY","Holytown",40690,61936,18978,121604,1517,3,"Glasgow Central",9738,"Scotland","ScotRail",0,1,"Wishaw Deviation"
"1590","HLY","Holytown",40690,61936,18978,121604,1517,3,"Glasgow Central",9738,"Scotland","ScotRail",0,1,"Edinburgh to Glasgow via Shotts"
"1591","HMC","Hampton Court",411130,593028,102936,1107094,403,0,"London Waterloo",5561,"South East","South Western Railway",1,0,"Hampton Court Branch Line"
"1592","HMD","Hampden Park (Sussex)",163328,339822,191550,694700,613,120872,"Eastbourne",5450,"South East","Govia Thameslink Railway (Southern)",0,1,"East Coastway Line"
"1593","HME","Hamble",21926,30562,27780,80268,1737,0,"Southampton Central",5947,"South East","South Western Railway",0,1,"West Coastway Line"
"1594","HML","Hemel Hempstead",429320,716320,161046,1306686,349,9093,"London Euston",1391,"East of England","West Midlands Trains (London Northwestern Railway)",1,0,"West Coast Main Line"
"1595","HMM","Hammerton",7910,21298,3636,32844,2088,0,"York",8241,"Yorkshire and The Humber","Northern Trains",0,1,"Harrogate Line"
"1596","HMN","Homerton",1240422,2089072,533126,3862620,114,0,"Highbury and Islington",6979,"London","London Overground",1,0,"High Speed 1"
"1597","HMN","Homerton",1240422,2089072,533126,3862620,114,0,"Highbury and Islington",6979,"London","London Overground",1,0,"North London line"
"1598","HMP","Hampton (London)",317352,327180,105226,749758,577,0,"London Waterloo",5560,"London","South Western Railway",0,1,"Shepperton Line"
"1599","HMS","Helmsdale",2448,1036,0,3484,2432,0,"Inverness",8647,"Scotland","ScotRail",0,1,"Far North Line"
"1600","HMT","Ham Street",10628,30878,17586,59092,1881,0,"Ashford International",5037,"South East","Govia Thameslink Railway (Southern)",0,1,"Marshlink Line"
"1601","HMW","Hampton Wick",250380,335022,65154,650556,638,0,"London Waterloo",5589,"London","South Western Railway",0,1,"Kingston Loop Line"
"1602","HMY","Hairmyres",141832,201134,66768,409734,856,0,"Glasgow Central",9810,"Scotland","ScotRail",0,1,"Glasgow South Western Line"
"1603","HNA","Hinton Admiral",34602,73832,7004,115438,1550,0,"Bournemouth",5880,"South East","South Western Railway",0,1,"South Western Main Line"
"1604","HNB","Herne Bay",114954,277474,309396,701824,605,0,"Faversham",5174,"South East","Southeastern",0,1,"Chatham Main Line"
"1605","HNC","Hamilton Central",161986,283092,81492,526570,744,2333,"Glasgow Central",9726,"Scotland","ScotRail",0,1,"Hamilton Circle Line"
"1606","HND","Hanborough",86046,132768,43684,262498,1096,0,"London Paddington",3007,"South East","Great Western Railway",0,1,"Cotswold Line"
"1607","HNF","Hednesford",65578,101458,24792,191828,1272,0,"Birmingham New Street",1148,"West Midlands","West Midlands Trains (West Midlands Railway)",0,1,"Chase Line"
"1608","HNG","Hengoed",79296,3862,22746,105904,1599,0,"Cardiff Central",4028,"Wales","TfW Rail",0,1,"Rhymney Line"
"1609","HNH","Herne Hill",671736,994016,337784,2003536,236,843160,"London Victoria",5066,"London","Southeastern",0,1,"Chatham Main Line"
"1610","HNH","Herne Hill",671736,994016,337784,2003536,236,843160,"London Victoria",5066,"London","Southeastern",0,1,"Holborn Viaduct and Herne Hill Line"
"1611","HNH","Herne Hill",671736,994016,337784,2003536,236,843160,"London Victoria",5066,"London","Southeastern",0,1,"Sutton and Mole Valley Line"
"1612","HNH","Herne Hill",671736,994016,337784,2003536,236,843160,"London Victoria",5066,"London","Southeastern",0,1,"Herne Hill and Tulse Hill Line"
"1613","HNK","Hinckley (Leics)",91290,127240,16886,235416,1156,0,"Birmingham New Street",1870,"East Midlands","East Midlands Railway",0,1,"Birmingham to Peterborough Line"
"1614","HNL","Henley-In-Arden",19962,27898,21792,69652,1797,0,"Stratford-Upon-Avon",4524,"West Midlands","West Midlands Trains (West Midlands Railway)",0,1,"Tyseley South Junction to Bearley Junction Branch"
"1615","HNT","Huntly",24268,22974,2326,49568,1948,0,"Aberdeen",8921,"Scotland","ScotRail",0,1,"Aberdeen to Inverness Line"
"1616","HNW","Hamilton West",175192,264748,67972,507912,769,0,"Glasgow Central",9727,"Scotland","ScotRail",0,1,"Hamilton Circle Line"
"1617","HNX","Hunts Cross",256228,783510,267812,1307550,348,10359,"Liverpool Central",2235,"North West","Merseyrail",0,1,"Manchester and Allerton Junction Line"
"1618","HOC","Hockley",261322,220070,288792,770184,565,0,"London Liverpool Street",6880,"East of England","Greater Anglia",0,1,"Shenfield to Southend Line"
"1619","HOH","Harrow-On-The-Hill",1020080,1498606,97256,2615942,174,0,"Amersham",598,"London","London Underground",1,0,"Metropolitan Line"
"1620","HOH","Harrow-On-The-Hill",1020080,1498606,97256,2615942,174,0,"Amersham",598,"London","London Underground",1,0,"London–Aylesbury Line"
"1621","HOK","Hook",106314,193038,96874,396226,872,0,"London Waterloo",5523,"South East","South Western Railway",0,1,"South Western Main Line"
"1622","HOL","Holton Heath",14906,8656,3936,27498,2135,0,"Bournemouth",5941,"South West","South Western Railway",0,1,"South Western Main Line"
"1623","HON","Honiton",36666,184752,66810,288228,1039,11251,"Exeter Central",5717,"South West","South Western Railway",0,1,"West of England Main Line"
"1624","HOO","Hooton",337650,195414,96638,629702,650,98009,"Liverpool Central",2193,"North West","Merseyrail",0,1,"Merseyrail Wirral Line"
"1625","HOP","Hope (Derbyshire)",25572,47544,3124,76240,1760,0,"Sheffield",2828,"East Midlands","Northern Trains",0,1,"Hope Valley Line"
"1626","HOR","Horley",409108,460316,164242,1033666,441,0,"London Bridge",5365,"South East","Govia Thameslink Railway (Southern)",1,0,"Brighton Main Line"
"1627","HOT","Henley-On-Thames",208976,309202,88654,606832,671,0,"London Paddington",3146,"South East","Great Western Railway",0,1,"Regatta Line"
"1628","HOU","Hounslow",268908,345048,147916,761872,573,1060,"London Waterloo",5563,"London","South Western Railway",0,1,"Hounslow Loop Line"
"1629","HOV","Hove",462336,1020618,283794,1766748,276,328410,"London Victoria",5273,"South East","Govia Thameslink Railway (Southern)",1,0,"Hove Connector"
"1630","HOV","Hove",462336,1020618,283794,1766748,276,328410,"London Victoria",5273,"South East","Govia Thameslink Railway (Southern)",1,0,"West Coastway"
"1631","HOV","Hove",462336,1020618,283794,1766748,276,328410,"London Victoria",5273,"South East","Govia Thameslink Railway (Southern)",1,0,"West Coastway Line"
"1632","HOW","Howden",22206,64448,7166,93820,1663,0,"York",8071,"Yorkshire and The Humber","Northern Trains",0,1,"Hull Line"
"1633","HOX","Hoxton",961448,1960882,331432,3253762,140,0,"Whitechapel",1023,"London","London Overground",1,0,"East London line"
"1634","HOY","Honley",16068,14276,10540,40884,2015,0,"Huddersfield",8436,"Yorkshire and The Humber","Northern Trains",0,1,"Penistone Line"
"1635","HOZ","Howwood (Renfrewshire)",16758,29706,9256,55720,1904,0,"Glasgow Central",1734,"Scotland","ScotRail",0,1,"Ayrshire Coast Line"
"1636","HPA","Honor Oak Park",793218,1311624,204254,2309096,206,0,"Canada Water",5418,"London","London Overground",1,0,"Brighton Main Line"
"1637","HPD","Harpenden",734082,1254904,356880,2345866,202,3861,"London St Pancras International",1543,"East of England","Govia Thameslink Railway (Thameslink)",1,0,"Midland Main Line"
"1638","HPE","Hope (Flintshire)",10564,944,6096,17604,2234,0,"Wrexham General",2432,"Wales","TfW Rail",0,1,"Wrexham Central and Bidston Line"
"1639","HPL","Hartlepool",113600,391488,47960,553048,718,1390,"Newcastle",8009,"North East","Northern Trains",1,0,"Durham Coast Line"
"1640","HPN","Hapton",3704,6350,1948,12002,2302,0,"Blackburn",2557,"North West","Northern Trains",0,1,"East Lancashire Line"
"1641","HPQ","Harwich International",30140,41920,23168,95228,1655,0,"Colchester",6902,"East of England","Greater Anglia",0,1,"Manningtree and Harwich Line"
"1642","HPT","Hopton Heath",620,104,0,724,2527,0,"Shrewsbury",4189,"West Midlands","TfW Rail",0,1,"Heart of Wales Line"
"1643","HRD","Harling Road",1432,240,432,2104,2466,0,"Norwich",7374,"East of England","Greater Anglia",0,1,"Breckland Line"
"1644","HRH","Horsham",586816,1021486,485380,2093682,226,104781,"London Victoria",5309,"South East","Govia Thameslink Railway (Southern)",1,0,"Arun Valley Line"
"1645","HRH","Horsham",586816,1021486,485380,2093682,226,104781,"London Victoria",5309,"South East","Govia Thameslink Railway (Southern)",1,0,"Sutton and Mole Valley Line"
"1646","HRL","Harlech",29040,6786,84504,120330,1526,0,"Penrhyndeudraeth",4458,"Wales","TfW Rail",0,1,"Cambrian Line"
"1647","HRM","Harrietsham",20792,27882,32368,81042,1731,0,"Maidstone East",5140,"South East","Southeastern",0,1,"Kent Downs Line"
"1648","HRM","Harrietsham",20792,27882,32368,81042,1731,0,"Maidstone East",5140,"South East","Southeastern",0,1,"High Speed 1"
"1649","HRN","Hornsey",458598,669134,187158,1314890,345,0,"Finsbury Park",6015,"London","Govia Thameslink Railway (Great Northern)",1,0,"Ferme Park London Concrete"
"1650","HRN","Hornsey",458598,669134,187158,1314890,345,0,"Finsbury Park",6015,"London","Govia Thameslink Railway (Great Northern)",1,0,"East Coast Main Line"
"1651","HRO","Harold Wood",1262700,1655904,350450,3269054,139,0,"Stratford (London)",6879,"London","Elizabeth line",1,0,"Elizabeth Line"
"1652","HRO","Harold Wood",1262700,1655904,350450,3269054,139,0,"Stratford (London)",6879,"London","Elizabeth line",1,0,"Great Eastern Main Line"
"1653","HRR","Harrington",8840,13860,3796,26496,2140,0,"Carlisle",2027,"North West","Northern Trains",0,1,"Carnforth Barrow and Carlisle Line"
"1654","HRR","Harrington",8840,13860,3796,26496,2140,0,"Carlisle",2027,"North West","Northern Trains",0,1,"Cumbrian Coast Line"
"1655","HRS","Horsforth",297860,260452,109620,667932,630,2567,"Leeds",8499,"Yorkshire and The Humber","Northern Trains",0,1,"Harrogate Line"
"1656","HRW","Harrow and Wealdstone",779622,1623542,401364,2804528,162,337438,"London Euston",1397,"London","London Underground",1,0,"Camden to Watford Junction Line"
"1657","HRW","Harrow and Wealdstone",779622,1623542,401364,2804528,162,337438,"London Euston",1397,"London","London Underground",1,0,"West Coast Main Line"
"1658","HRY","Harringay Green Lanes",306284,513864,286274,1106422,405,0,"Barking",7401,"London","London Overground",0,1,"Gospel Oak to Barking Line"
"1659","HSB","Helsby",51168,35538,2552,89258,1691,55321,"Chester",2149,"North West","TfW Rail",0,1,"Chester to Manchester Line"
"1660","HSB","Helsby",51168,35538,2552,89258,1691,55321,"Chester",2149,"North West","TfW Rail",0,1,"Ellesmere Port to Warrington Line"
"1661","HSC","Hoscar",448,466,0,914,2515,0,"Southport",2399,"North West","Northern Trains",0,1,"Manchester to Southport Line"
"1662","HSD","Hamstead (Birmingham)",60048,75920,41948,177916,1316,0,"Birmingham New Street",1145,"West Midlands","West Midlands Trains (West Midlands Railway)",0,1,"Proof House Junction and Bushbury Junction Line"
"1663","HSG","Hathersage",24604,46740,1326,72670,1779,0,"Sheffield",2826,"East Midlands","Northern Trains",0,1,"Hope Valley Line"
"1664","HSK","Hassocks",232334,540072,247370,1019776,447,0,"Brighton",5489,"South East","Govia Thameslink Railway (Southern)",1,0,"Brighton Main Line"
"1665","HSL","Haslemere",323616,505578,382974,1212168,366,56812,"London Waterloo",5633,"South East","South Western Railway",1,0,"Portsmouth Direct Line"
"1666","HST","High Street (Glasgow)",183808,318894,51214,553916,716,0,"Charing Cross (Glasgow)",9909,"Scotland","ScotRail",0,1,"High Street Junction to Shields Junction Chord"
"1667","HST","High Street (Glasgow)",183808,318894,51214,553916,716,0,"Charing Cross (Glasgow)",9909,"Scotland","ScotRail",0,1,"Argyle Line"
"1668","HST","High Street (Glasgow)",183808,318894,51214,553916,716,0,"Charing Cross (Glasgow)",9909,"Scotland","ScotRail",0,1,"North Clyde Line"
"1669","HSW","Heswall",16044,37548,6590,60182,1871,0,"Liverpool Lime Street",2138,"North West","TfW Rail",0,1,"Wrexham Central and Bidston Line"
"1670","HSY","Horsley",105640,117242,56158,279040,1060,0,"London Waterloo",5562,"South East","South Western Railway",0,1,"New Guildford Line"
"1671","HTC","Heaton Chapel",224088,166184,90116,480388,804,0,"Manchester Piccadilly",2861,"North West","Northern Trains",0,1,"Manchester-Crewe Line"
"1672","HTE","Hatch End",126580,398148,19544,544272,732,0,"Watford High Street",1398,"London","London Overground",1,0,"West Coast Main Line"
"1673","HTE","Hatch End",126580,398148,19544,544272,732,0,"Watford High Street",1398,"London","London Overground",1,0,"Camden to Watford Junction Line"
"1674","HTF","Hartford (Cheshire)",51678,119178,6250,177106,1319,0,"Liverpool Lime Street",2230,"North West","West Midlands Trains (London Northwestern Railway)",0,1,"West Coast Main Line"
"1675","HTF","Hartford (Cheshire)",51678,119178,6250,177106,1319,0,"Liverpool Lime Street",2230,"North West","West Midlands Trains (London Northwestern Railway)",0,1,"Mid-Cheshire Line"
"1676","HTH","Handforth",104210,73186,62830,240226,1148,0,"Manchester Piccadilly",2767,"North West","Northern Trains",0,1,"Crewe to Manchester Line"
"1677","HTN","Hatton",13024,7656,57508,78188,1749,0,"Lapworth",4594,"West Midlands","Chiltern Railways",0,1,"Chiltern Main Line"
"1678","HTO","Hightown",65884,161742,38946,266572,1083,0,"Liverpool Central",2356,"North West","Merseyrail",0,1,"Merseyrail Northern Line"
"1679","HTW","Hartwood",3560,7138,1104,11802,2305,0,"Glasgow Central",9246,"Scotland","ScotRail",0,1,"Edinburgh to Glasgow via Shotts"
"1680","HTY","Hattersley",29700,23372,16384,69456,1801,0,"Manchester Piccadilly",2604,"North West","Northern Trains",0,1,"Glossop Line"
"1681","HUB","Hunmanby",7216,26330,7068,40614,2020,0,"Scarborough",8098,"Yorkshire and The Humber","Northern Trains",0,1,"Yorkshire Coast Line"
"1682","HUD","Huddersfield",1114946,1461262,444422,3020630,153,456190,"Leeds",8437,"Yorkshire and The Humber","TransPennine Express",1,0,"Penistone Line"
"1683","HUD","Huddersfield",1114946,1461262,444422,3020630,153,456190,"Leeds",8437,"Yorkshire and The Humber","TransPennine Express",1,0,"Huddersfield Line"
"1684","HUL","Hull",146530,2103818,133094,2383442,197,71382,"Leeds",8126,"Yorkshire and The Humber","TransPennine Express",1,0,"Hull Line"
"1685","HUN","Huntingdon",338952,784998,178210,1302160,350,9,"London St Pancras International",6108,"East of England","Govia Thameslink Railway (Great Northern)",1,0,"East Coast Main Line"
"1686","HUP","Humphrey Park",11498,3994,3722,19214,2219,0,"Manchester Piccadilly",2937,"North West","Northern Trains",0,1,"Manchester and Allerton Junction Line"
"1687","HUR","Hurst Green",115766,147170,182688,445624,828,38850,"London Victoria",5463,"South East","Govia Thameslink Railway (Southern)",0,1,"Oxted Line"
"1688","HUR","Hurst Green",115766,147170,182688,445624,828,38850,"London Victoria",5463,"South East","Govia Thameslink Railway (Southern)",0,1,"East Grinstead Line"
"1689","HUT","Hutton Cranswick",6492,20574,9302,36368,2059,0,"Hull",8099,"Yorkshire and The Humber","Northern Trains",0,1,"Yorkshire Coast Line"
"1690","HUY","Huyton",176662,245290,113306,535258,742,18684,"Liverpool Lime Street",2160,"North West","Northern Trains",0,1,"Liverpool to Wigan Line"
"1691","HUY","Huyton",176662,245290,113306,535258,742,18684,"Liverpool Lime Street",2160,"North West","Northern Trains",0,1,"Liverpool to Manchester Lines"
"1692","HUY","Huyton",176662,245290,113306,535258,742,18684,"Liverpool Lime Street",2160,"North West","Northern Trains",0,1,"Deal Street and Edge Hill Line"
"1693","HVF","Haverfordwest",39186,57602,1078,97866,1645,0,"Cardiff Central",4079,"Wales","TfW Rail",0,1,"South Wales Main Line"
"1694","HVN","Havenhouse",560,640,0,1200,2499,0,"Skegness",6260,"East Midlands","East Midlands Railway",0,1,"Grantham to Skegness Line"
"1695","HWB","Hawarden Bridge",1798,166,42,2006,2469,0,"Bidston",2146,"Wales","TfW Rail",0,1,"Borderlands Line"
"1696","HWB","Hawarden Bridge",1798,166,42,2006,2469,0,"Bidston",2146,"Wales","TfW Rail",0,1,"North Wales Coast Line"
"1697","HWB","Hawarden Bridge",1798,166,42,2006,2469,0,"Bidston",2146,"Wales","TfW Rail",0,1,"Wrexham Central and Bidston Line"
"1698","HWC","Harwich Town",18132,41598,27742,87472,1696,0,"Colchester",6905,"East of England","Greater Anglia",0,1,"Manningtree and Harwich Line"
"1699","HWD","Hawarden",20058,1814,1292,23164,2185,0,"Liverpool Lime Street",2428,"Wales","TfW Rail",0,1,"Borderlands Line"
"1700","HWH","Haltwhistle",24610,46414,5986,77010,1756,0,"Newcastle",7568,"North East","Northern Trains",0,1,"Newcastle and Carlisle Railway"
"1701","HWI","Horwich Parkway",164950,208118,74260,447328,827,0,"Manchester Piccadilly",8720,"North West","Transport for Greater Manchester",0,1,"Manchester to Preston Line"
"1702","HWM","Harlow Mill",99502,62402,43478,205382,1235,0,"London Liverpool Street",6804,"East of England","Greater Anglia",0,1,"Stansted Express"
"1703","HWN","Harlow Town",602740,654460,288458,1545658,301,0,"London Liverpool Street",6827,"East of England","Greater Anglia",1,0,"Stansted Express"
"1704","HWV","Heathrow Terminal 5 (Rail Station Only)",1529236,1024104,66876,2620216,172,0,"London Paddington",9846,"London","Heathrow Express",0,1,"Piccadilly Line"
"1705","HWV","Heathrow Terminal 5 (Rail Station Only)",1529236,1024104,66876,2620216,172,0,"London Paddington",9846,"London","Heathrow Express",0,1,"Heathrow Express;Elizabeth Line"
"1706","HWW","How Wood (Hertfordshire)",9380,8172,2494,20046,2208,0,"Watford Junction",1563,"East of England","West Midlands Trains (London Northwestern Railway)",0,1,"Watford Junction - St Albans Abbey Line"
"1707","HWY","High Wycombe",849290,786476,281504,1917270,249,91589,"London Marylebone",3054,"South East","Chiltern Railways",1,0,"Chiltern Main Line"
"1708","HXM","Hoveton and Wroxham",40152,75528,9124,124804,1507,0,"Norwich",7327,"East of England","Greater Anglia",0,1,"Bittern Line"
"1709","HXX","Heathrow Terminals 2 and 3 (Rail Station Only)",2563718,1716878,112116,4392712,97,0,"London Paddington",7090,"London","Heathrow Express",0,1,"Heathrow Link Line"
"1710","HXX","Heathrow Terminals 2 and 3 (Rail Station Only)",2563718,1716878,112116,4392712,97,0,"London Paddington",7090,"London","Heathrow Express",0,1,"Heathrow Express;Elizabeth Line"
"1711","HXX","Heathrow Terminals 2 and 3 (Rail Station Only)",2563718,1716878,112116,4392712,97,0,"London Paddington",7090,"London","Heathrow Express",0,1,"Piccadilly Line"
"1712","HYB","Honeybourne",18862,59516,7390,85768,1701,0,"London Paddington",4794,"West Midlands","Great Western Railway",0,1,"Cotswold Line"
"1713","HYC","Hyde Central",32064,18008,10462,60534,1868,0,"Manchester Piccadilly",2829,"North West","Northern Trains",0,1,"Hope Valley Line"
"1714","HYD","Heyford",6242,20504,4666,31412,2105,0,"Oxford",3194,"South East","Great Western Railway",0,1,"Didcot and Chester Line"
"1715","HYH","Hythe (Essex)",62678,168226,34766,265670,1086,0,"London Liverpool Street",6851,"East of England","Greater Anglia",0,1,"Sunshine Coast Line"
"1716","HYK","Hoylake",134006,199422,84766,418194,850,0,"West Kirby",2194,"North West","Merseyrail",0,1,"Merseyrail Wirral Line"
"1717","HYL","Hayle",12722,99974,14278,126974,1499,0,"Penzance",3513,"South West","Great Western Railway",0,1,"The Cornish Main Line"
"1718","HYM","Haymarket",997268,1216172,94976,2308416,207,426734,"Glasgow Queen Street",9419,"Scotland","ScotRail",1,0,"Edinburgh and Carstairs Line"
"1719","HYM","Haymarket",997268,1216172,94976,2308416,207,426734,"Glasgow Queen Street",9419,"Scotland","ScotRail",1,0,"Edinburgh and Glasgow Main Line"
"1720","HYM","Haymarket",997268,1216172,94976,2308416,207,426734,"Glasgow Queen Street",9419,"Scotland","ScotRail",1,0,"East Coast (Northern) Line"
"1721","HYN","Hyndland",307586,589736,125820,1023142,446,699086,"Glasgow Queen Street",9845,"Scotland","ScotRail",0,1,"North Clyde Line"
"1722","HYR","Haydons Road",108574,110950,45502,265026,1087,0,"London Blackfriars",5289,"London","Govia Thameslink Railway (Thameslink)",0,1,"Streatham Morden and Sutton Line"
"1723","HYS","Hayes (Kent)",293760,316484,81142,691386,615,0,"London Bridge",5050,"London","Southeastern",0,1,"Mid-Kent Line"
"1724","HYT","Hyde North",15624,5674,6646,27944,2131,0,"Manchester Piccadilly",2959,"North West","Northern Trains",0,1,"Hope Valley Line"
"1725","HYT","Hyde North",15624,5674,6646,27944,2131,0,"Manchester Piccadilly",2959,"North West","Northern Trains",0,1,"Hadfield and Ardwick Junction Line"
"1726","HYT","Hyde North",15624,5674,6646,27944,2131,0,"Manchester Piccadilly",2959,"North West","Northern Trains",0,1,"Glossop Line"
