Station name,Ticket Barrier,Entries and exits - Full price tickets, Entries and exits - Reduced price tickets,Entries and exits - Season tickets,Entries and exits - All tickets,"Entries and exits
Rank",Interchanges,Main origin or destination station,"Three Letter Code
(TLC)",Region,Station facility owner,,,,,,,,,
Pontlottyn,,"25,158","1,194","8,566","34,918","2,068",0,Cardiff Central,PLT,Wales,TfW Rail,,,,,,,,,
Brockholes,,"14,804","16,940","3,006","34,750","2,069",0,Huddersfield,BHS,Yorkshire and The Humber,Northern Trains,,,,,,,,,
Staveley (Cumbria),,"4,146","20,682","9,826","34,654","2,070",0,Kendal,SVL,North West,Northern Trains,,,,,,,,,
Aberdovey,,"24,642","9,566",0,"34,208","2,071",0,Tywyn,AVY,Wales,TfW Rail,,,,,,,,,
Coatbridge Central,,"13,766","16,494","3,842","34,102","2,072",0,Motherwell,CBC,Scotland,ScotRail,,,,,,,,,
Whittlesea,,"19,460","11,202","3,076","33,738","2,073",0,Peterborough,WLE,East of England,Greater Anglia,,,,,,,,,
Ravenglass for Eskdale,,"5,118","27,046","1,540","33,704","2,074",0,Millom,RAV,North West,Northern Trains,,,,,,,,,
Troed-Y-Rhiw,,"22,072",774,"10,816","33,662","2,075",0,Merthyr Tydfil,TRD,Wales,TfW Rail,,,,,,,,,
South Bank,,"14,022","14,922","4,692","33,636","2,076",0,Redcar Central,SBK,North East,Northern Trains,,,,,,,,,
Dorking West,,"9,128","19,048","5,276","33,452","2,077",249,Reigate,DKT,South East,Great Western Railway,,,,,,,,,
Birchgrove,,"26,328","1,526","5,524","33,378","2,078",0,Cardiff Central,BCG,Wales,TfW Rail,,,,,,,,,
Betws-y-Coed,,"19,400","13,846",76,"33,322","2,079",0,Llandudno,BYC,Wales,TfW Rail,,,,,,,,,
Leigh (Kent),,"10,220","13,402","9,688","33,310","2,080",0,Tonbridge,LIH,South East,Govia Thameslink Railway (Southern),,,,,,,,,
Neston,,"26,678","5,446","1,118","33,242","2,081",0,Shotton,NES,North West,TfW Rail,,,,,,,,,
Ambergate,,"13,910","17,698","1,554","33,162","2,082",0,Derby,AMB,East Midlands,East Midlands Railway,,,,,,,,,
Acton Bridge (Cheshire),,"17,686","12,724","2,630","33,040","2,083",0,Liverpool Lime Street,ACB,North West,West Midlands Trains (London Northwestern Railway),,,,,,,,,
Cwmbach,,"25,934",982,"6,078","32,994","2,084",0,Cardiff Central,CMH,Wales,TfW Rail,,,,,,,,,
Kingussie,,"16,424","16,456",98,"32,978","2,085",0,Inverness,KIN,Scotland,ScotRail,,,,,,,,,
Pembroke Dock,,"24,970","7,842",144,"32,956","2,086",0,Tenby,PMD,Wales,TfW Rail,,,,,,,,,
West Runton,,"19,828","12,500",590,"32,918","2,087",0,Sheringham,WRN,East of England,Greater Anglia,,,,,,,,,
