Station name,Ticket Barrier,Entries and exits - Full price tickets, Entries and exits - Reduced price tickets,Entries and exits - Season tickets,Entries and exits - All tickets,"Entries and exits
Rank",Interchanges,Main origin or destination station,"Three Letter Code
(TLC)",Region,Station facility owner,,,,,,,,,
Dewsbury,,"399,126","432,058","200,658","1,031,842",442,0,Leeds,DEW,Yorkshire and The Humber,TransPennine Express,,,,,,,,,
Margate,,"129,026","774,952","121,962","1,025,940",443,"8,333",London St Pancras International,MAR,South East,Southeastern,,,,,,,,,
Bognor Regis,,"194,264","578,096","252,664","1,025,024",444,0,Barnham,BOG,South East,Govia Thameslink Railway (Southern),,,,,,,,,
Berkhamsted,,"391,396","507,068","124,902","1,023,366",445,0,London Euston,BKM,East of England,West Midlands Trains (London Northwestern Railway),,,,,,,,,
Hyndland,,"307,586","589,736","125,820","1,023,142",446,"699,086",Glasgow Queen Street,HYN,Scotland,ScotRail,,,,,,,,,
Hassocks,,"232,334","540,072","247,370","1,019,776",447,0,Brighton,HSK,South East,Govia Thameslink Railway (Southern),,,,,,,,,
Whitton (London),,"389,084","478,442","142,416","1,009,942",448,0,London Waterloo,WTN,London,South Western Railway,,,,,,,,,
Kettering,,"131,774","691,588","184,538","1,007,900",449,"369,017",London St Pancras International,KET,East Midlands,East Midlands Railway,,,,,,,,,
Plumstead,,"310,516","454,948","240,500","1,005,964",450,0,London Bridge,PLU,London,Southeastern,,,,,,,,,
Reigate,,"353,754","409,888","240,966","1,004,608",451,0,London Victoria,REI,South East,Govia Thameslink Railway (Southern),,,,,,,,,
Bushey,,"397,220","543,664","59,964","1,000,848",452,0,London Euston,BSH,East of England,London Overground,,,,,,,,,
Bruce Grove,,"301,468","521,288","176,392","999,148",453,0,Seven Sisters,BCV,London,London Overground,,,,,,,,,
Enfield Chase,,"373,006","508,940","115,296","997,242",454,"2,673",Finsbury Park,ENC,London,Govia Thameslink Railway (Great Northern),,,,,,,,,
Wilmslow,,"317,878","533,348","141,618","992,844",455,"90,395",Manchester Piccadilly,WML,North West,Northern Trains,,,,,,,,,
Gordon Hill,,"398,638","467,444","126,020","992,102",456,0,Finsbury Park,GDH,London,Govia Thameslink Railway (Great Northern),,,,,,,,,
Strood (Kent),,"331,778","395,128","263,192","990,098",457,"384,267",London St Pancras International,SOO,South East,Southeastern,,,,,,,,,
Selhurst,,"336,836","408,502","242,604","987,942",458,"2,736",London Victoria,SRS,London,Govia Thameslink Railway (Southern),,,,,,,,,
Rickmansworth,,"389,310","551,624","42,374","983,308",459,0,Harrow-On-The-Hill,RIC,East of England,London Underground,,,,,,,,,
Inverness,,"312,292","647,990","14,526","974,808",460,"38,939",Edinburgh,INV,Scotland,ScotRail,,,,,,,,,
Carpenders Park,,"279,874","635,126","59,748","974,748",461,0,Watford High Street,CPK,East of England,London Overground,,,,,,,,,
Birkdale,,"153,768","666,114","154,632","974,514",462,0,Southport,BDL,North West,Merseyrail,,,,,,,,,
Kensal Green,,"273,166","594,576","105,946","973,688",463,0,Queens Park (London),KNL,London,London Underground,,,,,,,,,
Walsall,,"316,308","449,138","205,384","970,830",464,"12,965",Birmingham New Street,WSL,West Midlands,West Midlands Trains (West Midlands Railway),,,,,,,,,
Deansgate,,"198,570","690,136","79,384","968,090",465,0,Liverpool Lime Street,DGT,North West,Northern Trains,,,,,,,,,
Beaconsfield,,"400,826","384,088","179,992","964,906",466,0,London Marylebone,BCF,South East,Chiltern Railways,,,,,,,,,
Crayford,,"389,274","400,546","174,948","964,768",467,0,London Bridge,CRY,London,Southeastern,,,,,,,,,
Nuneaton,,"363,090","531,630","65,660","960,380",468,"498,736",Birmingham New Street,NUN,West Midlands,West Midlands Trains (London Northwestern Railway),,,,,,,,,
West Kirby,,"208,340","654,736","95,692","958,768",469,0,Liverpool Central,WKI,North West,Merseyrail,,,,,,,,,
Tilbury Town,,"415,034","256,100","287,628","958,762",470,"111,134",Grays,TIL,East of England,c2c,,,,,,,,,
Bexley,,"392,952","431,884","129,660","954,496",471,0,London Bridge,BXY,London,Southeastern,,,,,,,,,
Kew Bridge,,"342,284","430,412","179,728","952,424",472,0,London Waterloo,KWB,London,South Western Railway,,,,,,,,,
Loughborough Junction,,"331,996","458,152","161,922","952,070",473,0,London Blackfriars,LGJ,London,Govia Thameslink Railway (Thameslink),,,,,,,,,
St Michaels,,"288,558","415,130","247,182","950,870",474,0,Liverpool Central,STM,North West,Merseyrail,,,,,,,,,
Tamworth,,"414,442","472,394","57,880","944,716",475,"202,840",Birmingham New Street,TAM,West Midlands,West Midlands Trains (London Northwestern Railway),,,,,,,,,
North Wembley,,"263,364","538,556","140,718","942,638",476,0,Queens Park (London),NWB,London,London Underground,,,,,,,,,
Weston-Super-Mare,,"235,848","640,196","63,760","939,804",477,"6,498",Bristol Temple Meads,WSM,South West,Great Western Railway,,,,,,,,,
Mount Florida,,"276,768","594,662","67,448","938,878",478,"3,781",Glasgow Central,MFL,Scotland,ScotRail,,,,,,,,,
Brimsdown,,"325,696","472,108","139,768","937,572",479,0,Tottenham Hale,BMD,London,Greater Anglia,,,,,,,,,
Canterbury East,,"209,982","593,110","132,536","935,628",480,"9,490",Faversham,CBE,South East,Southeastern,,,,,,,,,
Shortlands,,"394,352","393,136","147,216","934,704",481,"9,925",London Victoria,SRT,London,Southeastern,,,,,,,,,
New Brighton,,"284,248","464,204","183,356","931,808",482,0,Liverpool Central,NBN,North West,Merseyrail,,,,,,,,,
Polegate,,"123,348","552,558","253,562","929,468",483,19,Eastbourne,PLG,South East,Govia Thameslink Railway (Southern),,,,,,,,,
Barnham,,"190,052","340,756","393,744","924,552",484,"702,656",Chichester,BAA,South East,Govia Thameslink Railway (Southern),,,,,,,,,
High Brooms,,"247,268","433,440","242,940","923,648",485,0,London Bridge,HIB,South East,Southeastern,,,,,,,,,
Hanwell,,"324,568","498,820","98,766","922,154",486,0,London Paddington,HAN,London,Elizabeth line,,,,,,,,,
Andover,,"171,606","595,142","154,978","921,726",487,"16,134",London Waterloo,ADV,South East,South Western Railway,,,,,,,,,
Harringay,,"325,200","481,664","114,042","920,906",488,0,Finsbury Park,HGY,London,Govia Thameslink Railway (Great Northern),,,,,,,,,
Westcliff,,"384,658","328,402","207,660","920,720",489,0,London Fenchurch Street,WCF,East of England,c2c,,,,,,,,,
Ainsdale,,"171,718","580,394","168,514","920,626",490,0,Southport,ANS,North West,Merseyrail,,,,,,,,,
Bingley,,"279,864","462,642","177,494","920,000",491,0,Leeds,BIY,Yorkshire and The Humber,Northern Trains,,,,,,,,,
Ladywell,,"293,132","463,010","161,486","917,628",492,0,London Bridge,LAD,London,Southeastern,,,,,,,,,
Slade Green,,"323,228","407,500","186,532","917,260",493,"47,496",London Bridge,SGR,London,Southeastern,,,,,,,,,
Kidderminster,,"218,080","366,910","330,896","915,886",494,0,Birmingham Moor Street,KID,West Midlands,West Midlands Trains (West Midlands Railway),,,,,,,,,
West Byfleet,,"331,758","375,060","200,572","907,390",495,0,London Waterloo,WBY,South East,South Western Railway,,,,,,,,,
Ockendon,,"392,562","348,110","160,678","901,350",496,0,London Fenchurch Street,OCK,East of England,c2c,,,,,,,,,
Gerrards Cross,,"406,766","363,112","131,268","901,146",497,"34,829",London Marylebone,GER,South East,Chiltern Railways,,,,,,,,,
Hertford East,,"344,588","441,470","114,884","900,942",498,0,London Liverpool Street,HFE,East of England,Greater Anglia,,,,,,,,,
Anerley,,"319,968","479,538","101,376","900,882",499,0,Canada Water,ANZ,London,London Overground,,,,,,,,,
Rectory Road,,"323,176","484,922","91,648","899,746",500,0,London Liverpool Street,REC,London,London Overground,,,,,,,,,
Fazakerley,,"170,982","457,656","270,798","899,436",501,0,Liverpool Central,FAZ,North West,Merseyrail,,,,,,,,,
Exmouth,,"137,526","641,724","119,126","898,376",502,0,Exeter Central,EXM,South West,Great Western Railway,,,,,,,,,
Brentford,,"340,906","339,980","216,792","897,678",503,0,London Waterloo,BFD,London,South Western Railway,,,,,,,,,
Dover Priory,,"186,744","555,790","153,054","895,588",504,"70,905",London St Pancras International,DVP,South East,Southeastern,,,,,,,,,
Bush Hill Park,,"372,088","462,150","59,440","893,678",505,0,Seven Sisters,BHK,London,London Overground,,,,,,,,,
Brondesbury Park,,"319,928","436,002","137,646","893,576",506,0,West Hampstead,BSP,London,London Overground,,,,,,,,,
Digby and Sowton,,"231,484","75,528","583,968","890,980",507,0,Exeter Central,DIG,South West,Great Western Railway,,,,,,,,,
Wanstead Park,,"239,504","390,232","261,206","890,942",508,"11,671",Blackhorse Road,WNP,London,London Overground,,,,,,,,,
East Grinstead,,"266,136","367,982","254,630","888,748",509,0,London Victoria,EGR,South East,Govia Thameslink Railway (Southern),,,,,,,,,
St Neots,,"247,822","496,974","141,292","886,088",510,0,London St Pancras International,SNO,East of England,Govia Thameslink Railway (Great Northern),,,,,,,,,
Newark Northgate,,"146,202","682,066","57,270","885,538",511,"152,799",London Kings Cross,NNG,East Midlands,London North Eastern Railway,,,,,,,,,
Hendon,,"292,478","369,198","222,118","883,794",512,0,London St Pancras International,HEN,London,Govia Thameslink Railway (Thameslink),,,,,,,,,
Telford Central,,"236,540","546,372","99,764","882,676",513,"2,986",Birmingham New Street,TFC,West Midlands,West Midlands Trains (West Midlands Railway),,,,,,,,,
Paddock Wood,,"235,710","355,562","289,920","881,192",514,"110,489",London Bridge,PDW,South East,Southeastern,,,,,,,,,
Seaforth and Litherland,,"165,252","523,414","191,368","880,034",515,0,Liverpool Central,SFL,North West,Merseyrail,,,,,,,,,
Birkenhead North,,"464,062","269,390","145,026","878,478",516,"71,783",Liverpool Central,BKN,North West,Merseyrail,,,,,,,,,
Aylesbury,,"330,946","334,144","208,842","873,932",517,"3,679",London Marylebone,AYS,South East,Chiltern Railways,,,,,,,,,
Guiseley,,"371,284","269,026","230,704","871,014",518,0,Leeds,GSY,Yorkshire and The Humber,Northern Trains,,,,,,,,,
Chislehurst,,"375,852","402,486","85,954","864,292",519,0,London Bridge,CIT,London,Southeastern,,,,,,,,,
Hertford North,,"330,192","423,026","110,084","863,302",520,"3,772",Moorgate,HFN,East of England,Govia Thameslink Railway (Great Northern),,,,,,,,,
Scarborough,,"114,884","708,232","39,668","862,784",521,0,York,SCA,Yorkshire and The Humber,TransPennine Express,,,,,,,,,
Queenstown Road (Battersea),,"308,610","365,216","179,200","853,026",522,0,London Waterloo,QRB,London,South Western Railway,,,,,,,,,
Old Roan,,"138,770","565,340","143,616","847,726",523,0,Liverpool Central,ORN,North West,Merseyrail,,,,,,,,,
Ashtead,,"291,202","375,864","180,318","847,384",524,0,London Waterloo,AHD,South East,Govia Thameslink Railway (Southern),,,,,,,,,
Preston Park,,"270,944","450,124","122,806","843,874",525,0,Brighton,PRP,South East,Govia Thameslink Railway (Southern),,,,,,,,,
Aintree,,"189,054","440,238","212,370","841,662",526,0,Liverpool Central,AIN,North West,Merseyrail,,,,,,,,,
Leytonstone High Road,,"262,528","406,742","171,822","841,092",527,0,Blackhorse Road,LER,London,London Overground,,,,,,,,,
Barnehurst,,"322,854","361,682","156,496","841,032",528,0,London Bridge,BNH,London,Southeastern,,,,,,,,,
Nunhead,,"298,668","386,526","155,262","840,456",529,0,London Victoria,NHD,London,Govia Thameslink Railway (Thameslink),,,,,,,,,
Portslade,,"235,630","452,134","139,006","826,770",530,0,London Victoria,PLD,South East,Govia Thameslink Railway (Southern),,,,,,,,,
Poole,,"191,588","584,914","48,162","824,664",531,"4,049",London Waterloo,POO,South West,South Western Railway,,,,,,,,,
Johnstone (Renfrewshire),,"238,914","461,716","120,806","821,436",532,0,Glasgow Central,JHN,Scotland,ScotRail,,,,,,,,,
Ascot (Berks),,"312,308","445,200","63,902","821,410",533,"224,915",London Waterloo,ACT,South East,South Western Railway,,,,,,,,,
Ayr,,"278,090","491,884","51,314","821,288",534,"52,388",Glasgow Central,AYR,Scotland,ScotRail,,,,,,,,,
Cricklewood,,"255,192","424,688","140,822","820,702",535,0,London St Pancras International,CRI,London,Govia Thameslink Railway (Thameslink),,,,,,,,,
Lancing,,"229,576","423,232","167,146","819,954",536,0,Brighton,LAC,South East,Govia Thameslink Railway (Southern),,,,,,,,,
St Margarets (London),,"339,260","370,458","109,864","819,582",537,0,London Waterloo,SMG,London,South Western Railway,,,,,,,,,
Westcombe Park,,"326,830","375,784","113,360","815,974",538,0,London Bridge,WCB,London,Southeastern,,,,,,,,,
Southbury,,"266,236","458,484","87,372","812,092",539,0,Seven Sisters,SBU,London,London Overground,,,,,,,,,
Folkestone Central,,"134,854","506,604","170,228","811,686",540,"15,263",London St Pancras International,FKC,South East,Southeastern,,,,,,,,,
Littlehampton,,"144,218","423,214","243,316","810,748",541,"4,149",Chichester,LIT,South East,Govia Thameslink Railway (Southern),,,,,,,,,
Argyle Street,,"186,068","543,014","80,832","809,914",542,0,Rutherglen,AGS,Scotland,ScotRail,,,,,,,,,
Ewell West,,"329,966","370,468","108,000","808,434",543,0,London Waterloo,EWW,South East,South Western Railway,,,,,,,,,
Livingston North,,"309,846","437,726","60,722","808,294",544,0,Edinburgh,LSN,Scotland,ScotRail,,,,,,,,,
Ware (Herts),,"358,338","363,644","84,862","806,844",545,0,London Liverpool Street,WAR,East of England,Greater Anglia,,,,,,,,,
Sandwell and Dudley,,"208,886","442,360","155,446","806,692",546,0,Birmingham New Street,SAD,West Midlands,West Midlands Trains (West Midlands Railway),,,,,,,,,
Sutton Coldfield,,"210,622","325,580","269,202","805,404",547,0,Birmingham New Street,SUT,West Midlands,West Midlands Trains (West Midlands Railway),,,,,,,,,
St Leonards Warrior Square,,"162,236","502,982","138,286","803,504",548,"150,714",Bexhill,SLQ,South East,Southeastern,,,,,,,,,
Brockenhurst,,"173,986","501,120","124,026","799,132",549,"196,256",London Waterloo,BCU,South East,South Western Railway,,,,,,,,,
Belvedere,,"279,388","377,904","141,762","799,054",550,0,Woolwich Arsenal,BVD,London,Southeastern,,,,,,,,,
Newton-Le-Willows,,"169,010","544,236","85,280","798,526",551,"302,820",Manchester Victoria,NLW,North West,Northern Trains,,,,,,,,,
Linlithgow,,"308,646","442,794","46,072","797,512",552,0,Edinburgh,LIN,Scotland,ScotRail,,,,,,,,,
Cheam,,"322,732","343,444","124,186","790,362",553,0,London Victoria,CHE,London,Govia Thameslink Railway (Southern),,,,,,,,,
Erith,,"268,032","356,634","164,862","789,528",554,0,London Bridge,ERH,London,Southeastern,,,,,,,,,
Northumberland Park,,"187,852","440,514","158,376","786,742",555,0,Stratford (London),NUM,London,Greater Anglia,,,,,,,,,
Manningtree,,"155,882","438,332","188,916","783,130",556,"260,705",London Liverpool Street,MNG,East of England,Greater Anglia,,,,,,,,,
Brunswick,,"279,646","288,996","214,056","782,698",557,0,Liverpool Central,BRW,North West,Merseyrail,,,,,,,,,
Elmstead Woods,,"339,402","320,538","120,696","780,636",558,0,London Bridge,ESD,London,Southeastern,,,,,,,,,
Isleworth,,"268,100","284,998","227,206","780,304",559,0,London Waterloo,ISL,London,South Western Railway,,,,,,,,,
Sandhills,,"280,904","384,648","113,212","778,764",560,"556,339",Liverpool Central,SDL,North West,Merseyrail,,,,,,,,,
Clock House,,"313,200","369,388","95,734","778,322",561,"1,896",London Bridge,CLK,London,Southeastern,,,,,,,,,
Turkey Street,,"292,940","440,472","44,402","777,814",562,0,Seven Sisters,TUR,London,London Overground,,,,,,,,,
Woodgrange Park,,"209,882","337,098","228,956","775,936",563,0,Blackhorse Road,WGR,London,London Overground,,,,,,,,,
Cambridge Heath,,"242,406","407,088","121,996","771,490",564,0,London Liverpool Street,CBH,London,London Overground,,,,,,,,,
Hockley,,"261,322","220,070","288,792","770,184",565,0,London Liverpool Street,HOC,East of England,Greater Anglia,,,,,,,,,
Bathgate,,"282,916","407,492","79,122","769,530",566,0,Edinburgh,BHG,Scotland,ScotRail,,,,,,,,,
Langley (Berks),,"254,190","364,684","150,408","769,282",567,0,London Paddington,LNY,South East,Elizabeth line,,,,,,,,,
Cosham,,"232,276","451,536","81,346","765,158",568,0,Portsmouth and Southsea,CSA,South East,South Western Railway,,,,,,,,,
Walthamstow Queen's Road,,"253,606","341,906","169,456","764,968",569,0,Barking,WMW,London,London Overground,,,,,,,,,
Stowmarket,,"183,938","436,526","144,088","764,552",570,"55,744",London Liverpool Street,SMK,East of England,Greater Anglia,,,,,,,,,
Market Harborough,,"104,464","541,058","117,270","762,792",571,0,London St Pancras International,MHR,East Midlands,East Midlands Railway,,,,,,,,,
Rowley Regis,,"244,298","303,144","215,182","762,624",572,0,Birmingham Snow Hill,ROW,West Midlands,West Midlands Trains (West Midlands Railway),,,,,,,,,
Hounslow,,"268,908","345,048","147,916","761,872",573,"1,060",London Waterloo,HOU,London,South Western Railway,,,,,,,,,
Kings Lynn,,"159,618","537,382","60,034","757,034",574,747,London Kings Cross,KLN,East of England,Govia Thameslink Railway (Great Northern),,,,,,,,,
Biggleswade,,"254,916","379,590","118,544","753,050",575,0,London St Pancras International,BIW,East of England,Govia Thameslink Railway (Great Northern),,,,,,,,,
Esher,,"302,716","283,856","165,750","752,322",576,0,London Waterloo,ESH,South East,South Western Railway,,,,,,,,,
Hampton (London),,"317,352","327,180","105,226","749,758",577,0,London Waterloo,HMP,London,South Western Railway,,,,,,,,,
Bebington,,"324,922","329,066","95,586","749,574",578,0,Liverpool Central,BEB,North West,Merseyrail,,,,,,,,,
Bootle New Strand,,"196,850","401,382","149,260","747,492",579,"1,254",Liverpool Central,BNW,North West,Merseyrail,,,,,,,,,
Wandsworth Common,,"291,016","296,606","159,060","746,682",580,0,London Victoria,WSW,London,Govia Thameslink Railway (Southern),,,,,,,,,
Inverkeithing,,"241,984","459,378","44,876","746,238",581,"32,181",Edinburgh,INK,Scotland,ScotRail,,,,,,,,,
Motspur Park,,"266,534","337,336","140,736","744,606",582,"6,835",London Waterloo,MOT,London,South Western Railway,,,,,,,,,
Wellingborough,,"94,756","476,412","167,732","738,900",583,"4,220",London St Pancras International,WEL,East Midlands,East Midlands Railway,,,,,,,,,
Falconwood,,"306,944","325,522","104,872","737,338",584,0,London Bridge,FCN,London,Southeastern,,,,,,,,,
Anniesland,,"202,336","451,466","81,646","735,448",585,0,Glasgow Queen Street,ANL,Scotland,ScotRail,,,,,,,,,
Trowbridge,,"300,822","342,102","91,844","734,768",586,"36,255",Bath Spa,TRO,South West,Great Western Railway,,,,,,,,,
Bletchley,,"136,414","414,180","183,616","734,210",587,"58,278",London Euston,BLY,South East,West Midlands Trains (London Northwestern Railway),,,,,,,,,
Angmering,,"160,312","385,624","187,906","733,842",588,0,Brighton,ANG,South East,Govia Thameslink Railway (Southern),,,,,,,,,
Oakleigh Park,,"339,150","311,104","83,508","733,762",589,0,Finsbury Park,OKL,London,Govia Thameslink Railway (Great Northern),,,,,,,,,
South Croydon,,"320,622","276,568","135,912","733,102",590,0,London Bridge,SCY,London,Govia Thameslink Railway (Southern),,,,,,,,,
Crouch Hill,,"227,328","333,288","165,870","726,486",591,0,Barking,CRH,London,London Overground,,,,,,,,,
Ashford (Surrey),,"265,398","270,338","189,232","724,968",592,0,London Waterloo,AFS,South East,South Western Railway,,,,,,,,,
St Johns (London),,"231,934","305,570","187,348","724,852",593,0,London Bridge,SAJ,London,Southeastern,,,,,,,,,
West Dulwich,,"279,150","346,576","98,516","724,242",594,0,London Victoria,WDU,London,Southeastern,,,,,,,,,
Brookwood,,"322,252","261,576","139,558","723,386",595,"45,458",London Waterloo,BKO,South East,South Western Railway,,,,,,,,,
Hackbridge,,"267,616","292,208","162,130","721,954",596,0,London Victoria,HCB,London,Govia Thameslink Railway (Southern),,,,,,,,,
Whitstable,,"116,150","448,800","156,080","721,030",597,0,London St Pancras International,WHI,South East,Southeastern,,,,,,,,,
London Road (Guildford),,"243,092","377,344","100,134","720,570",598,0,London Waterloo,LRD,South East,South Western Railway,,,,,,,,,
St Ives (Cornwall),,0,"717,476","2,586","720,062",599,0,St Erth,SIV,South West,Great Western Railway,,,,,,,,,
Chalfont and Latimer,,"287,036","409,546","12,774","709,356",600,0,Harrow-On-The-Hill,CFO,South East,London Underground,,,,,,,,,
Clacton-on-Sea,,"133,518","421,448","150,950","705,916",601,0,Colchester,CLT,East of England,Greater Anglia,,,,,,,,,
Brixton,,"236,716","328,280","139,164","704,160",602,0,Bromley South,BRX,London,Southeastern,,,,,,,,,
Tooting,,"262,056","287,860","153,056","702,972",603,0,Wimbledon,TOO,London,Govia Thameslink Railway (Thameslink),,,,,,,,,
Bournville,,"213,822","318,930","169,626","702,378",604,0,Birmingham New Street,BRV,West Midlands,West Midlands Trains (West Midlands Railway),,,,,,,,,
Herne Bay,,"114,954","277,474","309,396","701,824",605,0,Faversham,HNB,South East,Southeastern,,,,,,,,,
Motherwell,,"242,378","386,498","70,344","699,220",606,"72,468",Glasgow Central,MTH,Scotland,ScotRail,,,,,,,,,
Ponders End,,"241,882","364,934","92,102","698,918",607,0,Tottenham Hale,PON,London,Greater Anglia,,,,,,,,,
Cathays,,"524,710","76,650","97,552","698,912",608,0,Cardiff Central,CYS,Wales,TfW Rail,,,,,,,,,
Bury St Edmunds,,"235,218","390,422","72,642","698,282",609,911,Cambridge,BSE,East of England,Greater Anglia,,,,,,,,,
New Southgate,,"323,364","279,572","93,722","696,658",610,0,Finsbury Park,NSG,London,Govia Thameslink Railway (Great Northern),,,,,,,,,
Dorking (Main),,"189,756","395,914","109,664","695,334",611,"74,693",London Waterloo,DKG,South East,Govia Thameslink Railway (Southern),,,,,,,,,
Perth,,"153,594","519,938","21,744","695,276",612,"118,969",Glasgow Queen Street,PTH,Scotland,ScotRail,,,,,,,,,
Hampden Park (Sussex),,"163,328","339,822","191,550","694,700",613,"120,872",Eastbourne,HMD,South East,Govia Thameslink Railway (Southern),,,,,,,,,
Heathrow Terminal 4 (Rail Station Only),,"404,798","271,086","17,702","693,586",614,0,London Paddington,HAF,London,Heathrow Express,,,,,,,,,
Hayes (Kent),,"293,760","316,484","81,142","691,386",615,0,London Bridge,HYS,London,Southeastern,,,,,,,,,
Teignmouth,,"93,332","466,904","131,148","691,384",616,0,Exeter Central,TGM,South West,Great Western Railway,,,,,,,,,
Greenhithe for Bluewater,,"224,392","229,442","234,956","688,790",617,0,London Bridge,GNH,South East,Southeastern,,,,,,,,,
Lichfield Trent Valley,,"81,238","401,812","205,228","688,278",618,"65,725",London Euston,LTV,West Midlands,West Midlands Trains (West Midlands Railway),,,,,,,,,
Totnes,,"40,898","556,808","89,688","687,394",619,0,London Paddington,TOT,South West,Great Western Railway,,,,,,,,,
Catford,,"264,722","261,900","160,240","686,862",620,"142,144",Denmark Hill,CTF,London,Govia Thameslink Railway (Thameslink),,,,,,,,,
Longbridge,,"215,010","287,074","183,592","685,676",621,0,Birmingham New Street,LOB,West Midlands,West Midlands Trains (West Midlands Railway),,,,,,,,,
Redditch,,"245,970","333,264","106,006","685,240",622,0,Birmingham New Street,RDC,West Midlands,West Midlands Trains (West Midlands Railway),,,,,,,,,
Barnes Bridge,,"257,144","313,590","113,844","684,578",623,0,London Waterloo,BNI,London,South Western Railway,,,,,,,,,
Ingatestone,,"255,942","132,988","293,860","682,790",624,0,London Liverpool Street,INT,East of England,Greater Anglia,,,,,,,,,
Hebden Bridge,,"205,680","416,068","58,012","679,760",625,"33,481",Manchester Victoria,HBD,Yorkshire and The Humber,Northern Trains,,,,,,,,,
Rock Ferry,,"288,686","262,786","124,986","676,458",626,0,Liverpool Central,RFY,North West,Merseyrail,,,,,,,,,
Kings Norton,,"230,200","270,606","174,962","675,768",627,0,Birmingham New Street,KNN,West Midlands,West Midlands Trains (West Midlands Railway),,,,,,,,,
Stratford-Upon-Avon,,"106,814","374,380","190,034","671,228",628,276,Birmingham Moor Street,SAV,West Midlands,West Midlands Trains (West Midlands Railway),,,,,,,,,
Kent House,,"269,346","308,788","93,056","671,190",629,0,London Victoria,KTH,London,Southeastern,,,,,,,,,
Horsforth,,"297,860","260,452","109,620","667,932",630,"2,567",Leeds,HRS,Yorkshire and The Humber,Northern Trains,,,,,,,,,
Syon Lane,,"348,068","200,828","118,910","667,806",631,0,London Waterloo,SYL,London,South Western Railway,,,,,,,,,
Stoneleigh,,"280,780","309,006","76,884","666,670",632,0,London Waterloo,SNL,South East,South Western Railway,,,,,,,,,
Neath,,"387,352","218,460","60,246","666,058",633,0,Swansea,NTH,Wales,TfW Rail,,,,,,,,,
Burton-On-Trent,,"193,310","439,098","31,090","663,498",634,"12,749",Birmingham New Street,BUT,West Midlands,East Midlands Railway,,,,,,,,,
Smethwick Galton Bridge,,"232,606","259,538","167,612","659,756",635,"387,565",Birmingham New Street,SGB,West Midlands,West Midlands Trains (West Midlands Railway),,,,,,,,,
Wembley Stadium,,"168,260","445,712","43,422","657,394",636,0,London Marylebone,WCX,London,Chiltern Railways,,,,,,,,,
Haddenham and Thame Parkway,,"279,574","237,154","137,804","654,532",637,0,London Marylebone,HDM,South East,Chiltern Railways,,,,,,,,,
Hampton Wick,,"250,380","335,022","65,154","650,556",638,0,London Waterloo,HMW,London,South Western Railway,,,,,,,,,
Conway Park,,"205,302","279,438","164,912","649,652",639,0,Liverpool Central,CNP,North West,Merseyrail,,,,,,,,,
Maidstone West,,"174,906","295,838","171,722","642,466",640,"132,606",London St Pancras International,MDW,South East,Southeastern,,,,,,,,,
Kilburn High Road,,"136,378","411,828","94,110","642,316",641,0,London Euston,KBN,London,London Overground,,,,,,,,,
Kirkcaldy,,"189,818","421,378","31,046","642,242",642,"2,124",Edinburgh,KDY,Scotland,ScotRail,,,,,,,,,
Weymouth,,"99,830","529,260","12,522","641,612",643,"6,596",Dorchester South,WEY,South West,South Western Railway,,,,,,,,,
Paignton,,"67,624","478,362","90,414","636,400",644,3,Exeter Central,PGN,South West,Great Western Railway,,,,,,,,,
Saltaire,,"207,154","304,488","124,712","636,354",645,0,Leeds,SAE,Yorkshire and The Humber,Northern Trains,,,,,,,,,
Lichfield City,,"224,458","244,258","164,576","633,292",646,0,Birmingham New Street,LIC,West Midlands,West Midlands Trains (West Midlands Railway),,,,,,,,,
Airdrie,,"196,716","341,584","94,498","632,798",647,0,Glasgow Queen Street,ADR,Scotland,ScotRail,,,,,,,,,
Bicester North,,"141,212","404,400","86,932","632,544",648,"18,563",London Marylebone,BCS,South East,Chiltern Railways,,,,,,,,,
Broadstairs,,"94,950","442,736","93,722","631,408",649,0,London St Pancras International,BSR,South East,Southeastern,,,,,,,,,
Hooton,,"337,650","195,414","96,638","629,702",650,"98,009",Liverpool Central,HOO,North West,Merseyrail,,,,,,,,,
Upper Warlingham,,"259,498","261,606","108,582","629,686",651,0,London Victoria,UWL,South East,Govia Thameslink Railway (Southern),,,,,,,,,
Cambuslang,,"199,304","342,460","87,514","629,278",652,"31,582",Glasgow Central,CBL,Scotland,ScotRail,,,,,,,,,
Birkenhead Central,,"241,100","271,034","115,060","627,194",653,0,Liverpool Central,BKC,North West,Merseyrail,,,,,,,,,
Carshalton Beeches,,"262,772","291,960","71,664","626,396",654,0,London Bridge,CSB,London,Govia Thameslink Railway (Southern),,,,,,,,,
Sanderstead,,"234,026","285,652","103,962","623,640",655,0,London Victoria,SNR,London,Govia Thameslink Railway (Southern),,,,,,,,,
Audley End,,"159,338","313,114","151,118","623,570",656,"3,349",London Liverpool Street,AUD,East of England,Greater Anglia,,,,,,,,,
Albany Park,,"286,128","253,588","82,774","622,490",657,0,London Bridge,AYP,London,Southeastern,,,,,,,,,
Northallerton,,"47,834","540,954","31,194","619,982",658,0,London Kings Cross,NTR,Yorkshire and The Humber,TransPennine Express,,,,,,,,,
Stalybridge,,"223,748","276,660","118,938","619,346",659,"71,513",Manchester Victoria,SYB,North West,TransPennine Express,,,,,,,,,
